english_name,sanskrit_name
Bharadvaja's Twist,Bharadvajasana I
Big Toe Pose,Padangusthasana
Boat Pose,Paripurna Navasana
Bound Angle Pose,Baddha Konasana
Bow Pose,Dhanurasana
Bridge Pose,Setu Bandha Sarvangasana
Camel Pose,Ustrasana
Cat Pose,Marjaryasana
Chair Pose,Utkatasana
Child’s Pose,Balasana
Cobra Pose,Bhujangasana
Corpse Pose,Savasana
Cow Face Pose,Gomukhasana
Cow Pose,Bitilasana
Crane (Crow) Pose,Bakasana
Dolphin Pose,
Downward-Facing Dog,Adho Mukha Svanasana
Eagle Pose,Garudasana
Easy Pose,Sukhasana
Eight-Angle Pose,Astavakrasana
Extended Hand-To-Big-Toe Pose,Utthita Hasta Padangustasana
Extended Puppy Pose,Uttana Shishosana
Extended Side Angle Pose,Utthita Parsvakonasana
Extended Triangle Pose,Utthita Trikonasana
Feathered Peacock Pose,Pincha Mayurasana
Fire Log Pose,Agnistambhasana
Firefly Pose,Tittibhasana
Fish Pose,Matsyasana
Four-Limbed Staff Pose,Chaturanga Dandasana
Garland Pose,Malasana
Gate Pose,Parighasana
Half Frog Pose,Ardha Bhekasana
Half Lord of the Fishes Pose,Ardha Matsyendrasana
Half Moon Pose,Ardha Chandrasana
Handstand,Adho Mukha Vrksasana
Happy Baby Pose,Ananda Balasana
Head-to-Knee Pose,Janu Sirsasana
Hero Pose,Virasana
Heron Pose,Krounchasana
High Lunge,
"High Lunge, Crescent Variation",
Intense Side Stretch Pose | Pyramid Pose,Parsvottanasana
Legs-Up-the-Wall Pose,Viparita Karani
Locust Pose,Salabhasana
Lord of the Dance Pose,Natarajasana
Lotus Pose,Padmasana
Low Lunge,Anjaneyasana
Marichi’s Pose,Marichyasana III
Monkey Pose,Hanumanasana
Mountain Pose,Tadasana
Rope Pose,Pasasana
One-Legged King Pigeon Pose,Eka Pada Rajakapotasana
One-Legged King Pigeon Pose II,Eka Pada Rajakapotasana II
Peacock Pose,Mayurasana
Pigeon Pose,Kapotasana
Plank Pose,
Plow Pose,Halasana
Pose Dedicated to the Sage,Eka Pada Koundinyanasana I
Koundinya I,
Pose Dedicated to the Sage Marichi I,Marichyasana I
Reclining Bound Angle Pose,Supta Baddha Konasana
Reclining Hand-to-Big-Toe Pose,Supta Padangusthasana
Reclining Hero Pose,Supta Virasana
Revolved Head-to-Knee Pose,Parivrtta Janu Sirsasana
Revolved Side Angle Pose,Parivrtta Parsvakonasana
Revolved Triangle Pose,Parivrtta Trikonasana
Scale Pose,Tolasana
Seated Forward Bend,Paschimottanasana
Shoulder-Pressing Pose,Bhujapidasana
Side Crane (Crow) Pose,Parsva Bakasana
Side Plank Pose,Vasisthasana
Side-Reclining Leg Lift,Anantasana
Sphinx Pose,
Staff Pose,Dandasana
Standing Forward Bend,Uttanasana
Standing Half Forward Bend,Ardha Uttanasana
Standing Split,Urdhva Prasarita Eka Padasana
Supported Headstand,Salamba Sirsasana
Supported Shoulderstand,Salamba Sarvangasana
Tree Pose,Vrksasana
Upward Bow (Wheel) Pose,Urdhva Dhanurasana
Upward Facing Two-Foot Staff Pose,Dwi Pada Viparita Dandasana
Upward Plank Pose | Reverse Plank,Purvottanasana
Upward Salute,Urdhva Hastasana
Upward-Facing Dog Pose,Urdhva Mukha Svanasana
Warrior I Pose,Virabhadrasana I
Warrior II Pose,Virabhadrasana II
Warrior III Pose,Virabhadrasana III
Wide-Angle Seated Forward Bend,Upavistha Konasana
Wide-Legged Forward Bend,Prasarita Padottanasana
Wild Thing,Camatkarasana
Big Mind Meditation,Dhyana
Breath Retention,Kumbhaka Pranayama
Calm Heart Meditation,Dhyana
Channel Cleaning Breath,Nadi Shodhana Pranayama
Conqueror Breath,Ujjayi Pranayama
Consciousness Seal,Chin Mudra or Jnana Mudra
Cross-Heart Kirtan Kriya Meditation,Dhyana
Deer Seal,Mrigi Mudra
Do-the-Right-Thing Meditation,Dhyana
Eagle Seal,
Fearless Heart Seal,Abhaya Hridaya Mudra
Ganesha Mudra,
I-Want-It-So-Badly Meditation,Dhyana
Intuition Meditation,Dhyana
Life Force Seal,Prana Mudra
Lion Pose,Simhasana
Lotus Seal,Padma Mudra
Loving Your Enemies Meditation,Dhyana
Mantra Meditation,Dhyana
Meditation Seal,Dhyana Mudra
Net-Bearer Bond,Jalandhara Bandha
Practice Enlightenment Meditation,Dhyana
Root Bond,Mula Bandha
Salutation Seal,Anjali Mudra
Self-Inquiry Meditation,Dhyana
Single Nostril Breath,Surya Bhedana Pranayama
Skull Shining Breath,Kapalabhati Pranayama
Truth Seal,Tattva Mudra
Upright Seal,Linga Mudra
Upward Abdominal Lock,Uddiyana Bandha
Wheel of Dharma Seal,Dharmachakra Mudra
Yoga of Sound Breath,Svara Yoga Pranayama
